"Name","Company","First Name","Last Name","Email","Phone","Mobile","Website","Billing Street","Billing City","Billing Province","Billing Postal Code","Billing Country","Terms","Account No.","Print on Cheque As","Notes"
"Plastiques d'Emballage et Fils inc.","Plastiques d'Emballage et Fils inc.","Isabelle","Bergeron","isabelle.bergeron@plastiques-d-emballage-et-fils-inc.example.com","(579) 555-0186","(579) 555-0104","https://www.plastiques-d-emballage-et-fils-inc.example.com","2294 boulevard Dagenais","Montréal","QC","H7M 5X1","Canada","Net 30","PLA-43291","Plastiques d'Emballage et Fils inc.","Fournisseurs — jeu d'essai"
"Trans-Canada Abrasives Canada Inc.","Trans-Canada Abrasives Canada Inc.","Daniel","Taylor","daniel.taylor@trans-canada-abrasives-canada-inc.example.com","(778) 555-0126","","https://www.trans-canada-abrasives-canada-inc.example.com","3978 Airport Road","Victoria","BC","V6G 1T2","Canada","Net 30","TRA-14080","Trans-Canada Abrasives Canada Inc.","Fournisseurs - test data"
"Textiles de Bureau du Nord inc.","Textiles de Bureau du Nord inc.","Julie","Bergeron","julie.bergeron@textiles-de-bureau-du-nord-inc.example.com","(418) 555-0158","","https://www.textiles-de-bureau-du-nord-inc.example.com","74 chemin du Tremblay, bureau 563","Québec","QC","G3N 2H9","Canada","Net 30","TEX-36896","Textiles de Bureau du Nord inc.","Fournisseurs — jeu d'essai"
"Emballages Pelletier ltée","Emballages Pelletier ltée","Chantal","Bélanger","chantal.belanger@emballages-pelletier-ltee.example.com","(418) 555-0118","","https://www.emballages-pelletier-ltee.example.com","2004 avenue Manufacturiers","Québec","QC","G0N 0Y1","Canada","Net 15","EMB-02429","Emballages Pelletier ltée","Fournisseurs — jeu d'essai"
"Lubrifiants Chimiques inc.","Lubrifiants Chimiques inc.","Sophie","Pelletier","sophie.pelletier@lubrifiants-chimiques-inc.example.com","(450) 555-0190","(450) 555-0192","https://www.lubrifiants-chimiques-inc.example.com","1433 boulevard des Entreprises","Rouyn-Noranda","QC","J7W 6W9","Canada","Net 30","LUB-97773","Lubrifiants Chimiques inc.","Fournisseurs — jeu d'essai"
"Sentinel Industries Ltd.","Sentinel Industries Ltd.","Michael","Patel","michael.patel@sentinel-industries-ltd.example.com","(613) 555-0150","","https://www.sentinel-industries-ltd.example.com","3123 Burnhamthorpe Road","Ottawa","ON","K5B 4X2","Canada","Net 15","SEN-55432","Sentinel Industries Ltd.","Fournisseurs - test data"
"Nguyen Steel Corp.","Nguyen Steel Corp.","Hannah","Taylor","hannah.taylor@nguyen-steel-corp.example.com","(807) 555-0119","(807) 555-0156","https://www.nguyen-steel-corp.example.com","576 Commerce Court","Sault Ste. Marie","ON","P0C 2P9","Canada","Net 15","NGU-28433","Nguyen Steel Corp.","Fournisseurs - test data"
"MacDonald Industries Corp.","MacDonald Industries Corp.","Karen","Singh","karen.singh@macdonald-industries-corp.example.com","(416) 555-0144","","https://www.macdonald-industries-corp.example.com","4172 Foundry Road","Etobicoke","ON","M1G 8X3","Canada","Net 15","MAC-66047","MacDonald Industries Corp.","Fournisseurs - test data"
"Patel Adhesives Holdings Ltd.","Patel Adhesives Holdings Ltd.","Michael","Clarke","michael.clarke@patel-adhesives-holdings-ltd.example.com","(778) 555-0199","","https://www.patel-adhesives-holdings-ltd.example.com","3177 Airport Road","Kelowna","BC","V1N 1K6","Canada","Net 30","PAT-25299","Patel Adhesives Holdings Ltd.","Fournisseurs - test data"
"Stewart Industries Inc.","Stewart Industries Inc.","Sarah","Kowalski","sarah.kowalski@stewart-industries-inc.example.com","(587) 555-0100","(587) 555-0112","https://www.stewart-industries-inc.example.com","243 Burnhamthorpe Road","Edmonton","AB","T4T 4A3","Canada","2% 10 Net 30","STE-34118","Stewart Industries Inc.","Fournisseurs - test data"
"Bennett Freight Corp.","Bennett Freight Corp.","Kevin","Taylor","kevin.taylor@bennett-freight-corp.example.com","(647) 555-0145","","https://www.bennett-freight-corp.example.com","3323 Enterprise Boulevard","Toronto","ON","M6T 6A0","Canada","Net 30","BEN-84397","Bennett Freight Corp.","Fournisseurs - test data"
"Pacific Manufacturing Holdings Ltd.","Pacific Manufacturing Holdings Ltd.","Jessica","Brown","jessica.brown@pacific-manufacturing-holdings-ltd.example.com","(250) 555-0160","(250) 555-0167","https://www.pacific-manufacturing-holdings-ltd.example.com","1426 Kennedy Road, bureau 833","Richmond","BC","V3R 2K6","Canada","2% 10 Net 30","PAC-86082","Pacific Manufacturing Holdings Ltd.","Fournisseurs - test data"
"Bennett Packaging Corp.","Bennett Packaging Corp.","Emily","Anderson","emily.anderson@bennett-packaging-corp.example.com","(289) 555-0124","","https://www.bennett-packaging-corp.example.com","3278 Enterprise Boulevard","Barrie","ON","L8Y 8M8","Canada","Net 30","BEN-61916","Bennett Packaging Corp.","Fournisseurs - test data"
"Dominion Distributors Inc.","Dominion Distributors Inc.","Jason","Kowalski","jason.kowalski@dominion-distributors-inc.example.com","(343) 555-0144","(343) 555-0190","https://www.dominion-distributors-inc.example.com","987 Industrial Drive, bureau 585","Ottawa","ON","K7H 6K8","Canada","Due on receipt","DOM-13610","Dominion Distributors Inc.","Fournisseurs - test data"
"Bennett Industries Canada Inc.","Bennett Industries Canada Inc.","Karen","Murray","karen.murray@bennett-industries-canada-inc.example.com","(604) 555-0152","","https://www.bennett-industries-canada-inc.example.com","1278 Enterprise Boulevard","Richmond","BC","V4K 2E7","Canada","Due on receipt","BEN-08037","Bennett Industries Canada Inc.","Fournisseurs - test data"
"Crestline Manufacturing Corp.","Crestline Manufacturing Corp.","Amanda","Taylor","amanda.taylor@crestline-manufacturing-corp.example.com","(431) 555-0104","","https://www.crestline-manufacturing-corp.example.com","2540 Burnhamthorpe Road, bureau 655","Winnipeg","MB","R3Y 4R2","Canada","Net 15","CRE-54702","Crestline Manufacturing Corp.","Fournisseurs - test data"
"Northgate Steel & Sons Ltd.","Northgate Steel & Sons Ltd.","Nicole","Anderson","nicole.anderson@northgate-steel-sons-ltd.example.com","(902) 555-0184","","https://www.northgate-steel-sons-ltd.example.com","2183 Enterprise Boulevard","Summerside","PE","C3H 3X3","Canada","Net 15","NOR-58125","Northgate Steel & Sons Ltd.","Fournisseurs - test data"
"Pacific Bearings Canada Inc.","Pacific Bearings Canada Inc.","Robert","Smith","robert.smith@pacific-bearings-canada-inc.example.com","(867) 555-0154","(867) 555-0106","https://www.pacific-bearings-canada-inc.example.com","2188 Steeles Avenue East, bureau 218","Iqaluit","NU","X0W 0L6","Canada","Due on receipt","PAC-39727","Pacific Bearings Canada Inc.","Fournisseurs - test data"
"Patel Distributors Canada Inc.","Patel Distributors Canada Inc.","Emily","Brown","emily.brown@patel-distributors-canada-inc.example.com","(250) 555-0127","","https://www.patel-distributors-canada-inc.example.com","465 Logistics Way","Victoria","BC","V8X 9T9","Canada","Net 15","PAT-18875","Patel Distributors Canada Inc.","Fournisseurs - test data"
"Apex Chemicals Corp.","Apex Chemicals Corp.","Steven","Reid","steven.reid@apex-chemicals-corp.example.com","(905) 555-0104","(905) 555-0195","https://www.apex-chemicals-corp.example.com","570 Kennedy Road","Hamilton","ON","L5K 6N9","Canada","Due on receipt","APE-27655","Apex Chemicals Corp.","Fournisseurs - test data"
"Apex Distributors Holdings Ltd.","Apex Distributors Holdings Ltd.","Steven","Hughes","steven.hughes@apex-distributors-holdings-ltd.example.com","(204) 555-0135","","https://www.apex-distributors-holdings-ltd.example.com","4211 Commerce Court","Brandon","MB","R4L 7G3","Canada","Net 30","APE-20416","Apex Distributors Holdings Ltd.","Fournisseurs - test data"
"Frontier Manufacturing Holdings Ltd.","Frontier Manufacturing Holdings Ltd.","Rachel","Reid","rachel.reid@frontier-manufacturing-holdings-ltd.example.com","(613) 555-0123","","https://www.frontier-manufacturing-holdings-ltd.example.com","1200 Dixie Road, bureau 171","Kingston","ON","K5M 3C1","Canada","Net 30","FRO-29605","Frontier Manufacturing Holdings Ltd.","Fournisseurs - test data"
"Pacific Hydraulics Ltd.","Pacific Hydraulics Ltd.","Hannah","MacDonald","hannah.macdonald@pacific-hydraulics-ltd.example.com","(902) 555-0197","","https://www.pacific-hydraulics-ltd.example.com","3628 Steeles Avenue East, bureau 459","Halifax","NS","B3Y 3B8","Canada","2% 10 Net 30","PAC-79964","Pacific Hydraulics Ltd.","Fournisseurs - test data"
"Frontier Lumber Corp.","Frontier Lumber Corp.","Megan","Reid","megan.reid@frontier-lumber-corp.example.com","(905) 555-0100","(905) 555-0167","https://www.frontier-lumber-corp.example.com","2709 Commerce Court, bureau 386","Mississauga","ON","L5G 2Z0","Canada","Net 30","FRO-33269","Frontier Lumber Corp.","Fournisseurs - test data"
"Thompson Hydraulics Group Inc.","Thompson Hydraulics Group Inc.","David","Bennett","david.bennett@thompson-hydraulics-group-inc.example.com","(403) 555-0112","","https://www.thompson-hydraulics-group-inc.example.com","4079 Commerce Court","Edmonton","AB","T8H 4H3","Canada","2% 10 Net 30","THO-36414","Thompson Hydraulics Group Inc.","Fournisseurs - test data"
"Fraser Abrasives Canada Inc.","Fraser Abrasives Canada Inc.","Rachel","Chen","rachel.chen@fraser-abrasives-canada-inc.example.com","(416) 555-0134","(416) 555-0107","https://www.fraser-abrasives-canada-inc.example.com","3810 Industrial Drive","North York","ON","M8G 5Y1","Canada","Net 15","FRA-74887","Fraser Abrasives Canada Inc.","Fournisseurs - test data"
"Fonderie Électriques du Nord inc.","Fonderie Électriques du Nord inc.","Chantal","Pelletier","chantal.pelletier@fonderie-electriques-du-nord-inc.example.com","(438) 555-0158","(438) 555-0194","https://www.fonderie-electriques-du-nord-inc.example.com","1506 avenue Manufacturiers, bureau 826","Montréal","QC","J7A 8G6","Canada","Due on receipt","FON-20019","Fonderie Électriques du Nord inc.","Fournisseurs — jeu d'essai"
"Lubrifiants Pelletier inc.","Lubrifiants Pelletier inc.","Chantal","Lévesque","chantal.levesque@lubrifiants-pelletier-inc.example.com","(506) 555-0123","(506) 555-0143","https://www.lubrifiants-pelletier-inc.example.com","1843 rue de l'Industrie","Saint John","NB","E0Y 1J4","Canada","Net 15","LUB-83011","Lubrifiants Pelletier inc.","Fournisseurs — jeu d'essai"
"Great Lakes Wholesale Corp.","Great Lakes Wholesale Corp.","Michael","Clarke","michael.clarke@great-lakes-wholesale-corp.example.com","(613) 555-0164","(613) 555-0167","https://www.great-lakes-wholesale-corp.example.com","3931 Airport Road","Ottawa","ON","K5P 6H0","Canada","2% 10 Net 30","GRE-22187","Great Lakes Wholesale Corp.","Fournisseurs - test data"
"Outillage de Bureau ltée","Outillage de Bureau ltée","Martin","Ouellet","martin.ouellet@outillage-de-bureau-ltee.example.com","(873) 555-0117","","https://www.outillage-de-bureau-ltee.example.com","3674 chemin du Tremblay, bureau 309","Sherbrooke","QC","J6T 2M5","Canada","Net 30","OUT-41284","Outillage de Bureau ltée","Fournisseurs — jeu d'essai"
"Frontier Steel Inc.","Frontier Steel Inc.","Megan","Brown","megan.brown@frontier-steel-inc.example.com","(709) 555-0162","","https://www.frontier-steel-inc.example.com","1412 Commerce Court","Corner Brook","NL","A6Z 5L1","Canada","Net 30","FRO-26172","Frontier Steel Inc.","Fournisseurs - test data"
"Continental Freight Holdings Ltd.","Continental Freight Holdings Ltd.","Brian","Anderson","brian.anderson@continental-freight-holdings-ltd.example.com","(343) 555-0167","","https://www.continental-freight-holdings-ltd.example.com","4559 Commerce Court","Cornwall","ON","K6N 5R5","Canada","Net 30","CON-05156","Continental Freight Holdings Ltd.","Fournisseurs - test data"
"Campbell Chemicals Group Inc.","Campbell Chemicals Group Inc.","David","Patel","david.patel@campbell-chemicals-group-inc.example.com","(807) 555-0171","(807) 555-0164","https://www.campbell-chemicals-group-inc.example.com","316 Burnhamthorpe Road","North Bay","ON","P8T 3S6","Canada","Net 15","CAM-26748","Campbell Chemicals Group Inc.","Fournisseurs - test data"
"Singh Steel Canada Inc.","Singh Steel Canada Inc.","Andrew","Patel","andrew.patel@singh-steel-canada-inc.example.com","(403) 555-0190","(403) 555-0161","https://www.singh-steel-canada-inc.example.com","525 Kennedy Road","Lethbridge","AB","T5Y 5V3","Canada","Net 15","SIN-61499","Singh Steel Canada Inc.","Fournisseurs - test data"
"Approvisionnement d'Emballage enr.","Approvisionnement d'Emballage enr.","Josée","Girard","josee.girard@approvisionnement-d-emballage-enr.example.com","(819) 555-0158","(819) 555-0184","https://www.approvisionnement-d-emballage-enr.example.com","4236 boulevard Dagenais, bureau 299","Rimouski","QC","G5Z 2G1","Canada","Net 30","APP-73077","Approvisionnement d'Emballage enr.","Fournisseurs — jeu d'essai"
"Apex Abrasives Holdings Ltd.","Apex Abrasives Holdings Ltd.","Karen","Singh","karen.singh@apex-abrasives-holdings-ltd.example.com","(825) 555-0146","","https://www.apex-abrasives-holdings-ltd.example.com","812 Airport Road, bureau 536","Fort McMurray","AB","T3Z 4V3","Canada","Net 15","APE-52993","Apex Abrasives Holdings Ltd.","Fournisseurs - test data"
"Cascade Lumber Holdings Ltd.","Cascade Lumber Holdings Ltd.","Megan","Singh","megan.singh@cascade-lumber-holdings-ltd.example.com","(365) 555-0197","(365) 555-0114","https://www.cascade-lumber-holdings-ltd.example.com","1229 Commerce Court","Hamilton","ON","L5C 3N6","Canada","Net 15","CAS-41502","Cascade Lumber Holdings Ltd.","Fournisseurs - test data"
"Vanguard Bearings Inc.","Vanguard Bearings Inc.","Karen","Hughes","karen.hughes@vanguard-bearings-inc.example.com","(705) 555-0180","","https://www.vanguard-bearings-inc.example.com","2171 Industrial Drive","Sudbury","ON","P8K 1M0","Canada","Net 30","VAN-35856","Vanguard Bearings Inc.","Fournisseurs - test data"
"Cascade Fasteners Canada Inc.","Cascade Fasteners Canada Inc.","Amanda","MacDonald","amanda.macdonald@cascade-fasteners-canada-inc.example.com","(226) 555-0112","","https://www.cascade-fasteners-canada-inc.example.com","2118 Steeles Avenue East","Kitchener","ON","N6J 9B6","Canada","Due on receipt","CAS-63475","Cascade Fasteners Canada Inc.","Fournisseurs - test data"
"Distribution Gagnon enr.","Distribution Gagnon enr.","Geneviève","Tremblay","genevieve.tremblay@distribution-gagnon-enr.example.com","(438) 555-0149","(438) 555-0144","https://www.distribution-gagnon-enr.example.com","4428 boulevard Hymus, bureau 634","Laval","QC","H3N 8H8","Canada","Net 30","DIS-59906","Distribution Gagnon enr.","Fournisseurs — jeu d'essai"
"Fournitures Lavoie et Fils inc.","Fournitures Lavoie et Fils inc.","Martin","Bergeron","martin.bergeron@fournitures-lavoie-et-fils-inc.example.com","(506) 555-0161","","https://www.fournitures-lavoie-et-fils-inc.example.com","2021 avenue Manufacturiers, bureau 187","Fredericton","NB","E4H 3W3","Canada","2% 10 Net 30","FOU-06919","Fournitures Lavoie et Fils inc.","Fournisseurs — jeu d'essai"
"Great Lakes Manufacturing & Sons Ltd.","Great Lakes Manufacturing & Sons Ltd.","Hannah","Bennett","hannah.bennett@great-lakes-manufacturing-sons-ltd.example.com","(250) 555-0194","","https://www.great-lakes-manufacturing-sons-ltd.example.com","3329 Kennedy Road","Kelowna","BC","V7C 0W4","Canada","Due on receipt","GRE-51150","Great Lakes Manufacturing & Sons Ltd.","Fournisseurs - test data"
"Titan Supply Co. Canada Inc.","Titan Supply Co. Canada Inc.","Megan","Singh","megan.singh@titan-supply-co-canada-inc.example.com","(343) 555-0199","(343) 555-0167","https://www.titan-supply-co-canada-inc.example.com","1177 Commerce Court","Ottawa","ON","K8J 3W4","Canada","Net 15","TIT-63433","Titan Supply Co. Canada Inc.","Fournisseurs - test data"
"Kowalski Abrasives Group Inc.","Kowalski Abrasives Group Inc.","Karen","Kowalski","karen.kowalski@kowalski-abrasives-group-inc.example.com","(431) 555-0168","","https://www.kowalski-abrasives-group-inc.example.com","3100 Dixie Road","Brandon","MB","R5B 3N3","Canada","Net 15","KOW-02029","Kowalski Abrasives Group Inc.","Fournisseurs - test data"
"Vanguard Hydraulics Corp.","Vanguard Hydraulics Corp.","Jessica","Wilson","jessica.wilson@vanguard-hydraulics-corp.example.com","(825) 555-0170","(825) 555-0104","https://www.vanguard-hydraulics-corp.example.com","972 Logistics Way","Fort McMurray","AB","T6T 3E1","Canada","Net 30","VAN-24077","Vanguard Hydraulics Corp.","Fournisseurs - test data"
"Kowalski Industries Ltd.","Kowalski Industries Ltd.","Daniel","Smith","daniel.smith@kowalski-industries-ltd.example.com","(437) 555-0166","(437) 555-0191","https://www.kowalski-industries-ltd.example.com","129 Airport Road","North York","ON","M7B 6C5","Canada","Net 30","KOW-95165","Kowalski Industries Ltd.","Fournisseurs - test data"
"Câbles Forestiers du Nord inc.","Câbles Forestiers du Nord inc.","Nathalie","Nadeau","nathalie.nadeau@cables-forestiers-du-nord-inc.example.com","(506) 555-0158","","https://www.cables-forestiers-du-nord-inc.example.com","4297 chemin du Tremblay","Saint John","NB","E4S 6T0","Canada","Due on receipt","CAB-80088","Câbles Forestiers du Nord inc.","Fournisseurs — jeu d'essai"
"Brown Manufacturing Group Inc.","Brown Manufacturing Group Inc.","Megan","Anderson","megan.anderson@brown-manufacturing-group-inc.example.com","(905) 555-0130","","https://www.brown-manufacturing-group-inc.example.com","3612 Foundry Road","Barrie","ON","L2K 0K4","Canada","Net 15","BRO-12712","Brown Manufacturing Group Inc.","Fournisseurs - test data"
"Singh Manufacturing Canada Inc.","Singh Manufacturing Canada Inc.","Sarah","Bennett","sarah.bennett@singh-manufacturing-canada-inc.example.com","(548) 555-0120","(548) 555-0162","https://www.singh-manufacturing-canada-inc.example.com","2084 Burnhamthorpe Road","Waterloo","ON","N3G 8J5","Canada","Due on receipt","SIN-85305","Singh Manufacturing Canada Inc.","Fournisseurs - test data"
"Métaux Électriques inc.","Métaux Électriques inc.","Catherine","Roy","catherine.roy@metaux-electriques-inc.example.com","(450) 555-0176","","https://www.metaux-electriques-inc.example.com","787 rue du Parc-Industriel","Sherbrooke","QC","J5G 6Y0","Canada","Net 30","MET-59051","Métaux Électriques inc.","Fournisseurs — jeu d'essai"
"Keystone Chemicals & Sons Ltd.","Keystone Chemicals & Sons Ltd.","Jason","Bennett","jason.bennett@keystone-chemicals-sons-ltd.example.com","(613) 555-0161","(613) 555-0163","https://www.keystone-chemicals-sons-ltd.example.com","405 Foundry Road","Ottawa","ON","K8A 1X5","Canada","2% 10 Net 30","KEY-28365","Keystone Chemicals & Sons Ltd.","Fournisseurs - test data"
"Papeterie Forestiers Canada inc.","Papeterie Forestiers Canada inc.","Geneviève","Morin","genevieve.morin@papeterie-forestiers-canada-inc.example.com","(438) 555-0162","(438) 555-0107","https://www.papeterie-forestiers-canada-inc.example.com","4097 rue de l'Industrie, bureau 245","Montréal","QC","H2G 8K3","Canada","Net 30","PAP-15661","Papeterie Forestiers Canada inc.","Fournisseurs — jeu d'essai"
"Hughes Lumber & Sons Ltd.","Hughes Lumber & Sons Ltd.","Amanda","Singh","amanda.singh@hughes-lumber-sons-ltd.example.com","(639) 555-0157","","https://www.hughes-lumber-sons-ltd.example.com","3941 Airport Road, bureau 124","Saskatoon","SK","S9G 5M2","Canada","Net 30","HUG-67090","Hughes Lumber & Sons Ltd.","Fournisseurs - test data"
"Campbell Abrasives Ltd.","Campbell Abrasives Ltd.","Amanda","Patel","amanda.patel@campbell-abrasives-ltd.example.com","(647) 555-0140","","https://www.campbell-abrasives-ltd.example.com","879 Steeles Avenue East","North York","ON","M8G 9V3","Canada","Net 15","CAM-35219","Campbell Abrasives Ltd.","Fournisseurs - test data"
"Titan Wholesale Holdings Ltd.","Titan Wholesale Holdings Ltd.","Amanda","Reid","amanda.reid@titan-wholesale-holdings-ltd.example.com","(437) 555-0168","(437) 555-0107","https://www.titan-wholesale-holdings-ltd.example.com","3213 Dixie Road","North York","ON","M3S 6S7","Canada","Net 30","TIT-54283","Titan Wholesale Holdings Ltd.","Fournisseurs - test data"
"Pacific Supply Co. Corp.","Pacific Supply Co. Corp.","Daniel","Chen","daniel.chen@pacific-supply-co-corp.example.com","(782) 555-0163","(782) 555-0149","https://www.pacific-supply-co-corp.example.com","2326 Airport Road","Halifax","NS","B9H 0L4","Canada","Net 15","PAC-70783","Pacific Supply Co. Corp.","Fournisseurs - test data"
"Sentinel Chemicals Inc.","Sentinel Chemicals Inc.","James","Thompson","james.thompson@sentinel-chemicals-inc.example.com","(343) 555-0113","(343) 555-0175","https://www.sentinel-chemicals-inc.example.com","48 Kennedy Road","Belleville","ON","K2M 9T5","Canada","Net 30","SEN-17775","Sentinel Chemicals Inc.","Fournisseurs - test data"
"Crestline Adhesives Holdings Ltd.","Crestline Adhesives Holdings Ltd.","James","Bennett","james.bennett@crestline-adhesives-holdings-ltd.example.com","(204) 555-0113","","https://www.crestline-adhesives-holdings-ltd.example.com","136 Commerce Court","Winnipeg","MB","R8Y 2P9","Canada","2% 10 Net 30","CRE-73106","Crestline Adhesives Holdings Ltd.","Fournisseurs - test data"
"Reid Supply Co. Ltd.","Reid Supply Co. Ltd.","Steven","Taylor","steven.taylor@reid-supply-co-ltd.example.com","(249) 555-0129","","https://www.reid-supply-co-ltd.example.com","3272 Industrial Drive","Sudbury","ON","P9C 9J4","Canada","2% 10 Net 30","REI-55521","Reid Supply Co. Ltd.","Fournisseurs - test data"
"Smith Manufacturing Canada Inc.","Smith Manufacturing Canada Inc.","Laura","Hughes","laura.hughes@smith-manufacturing-canada-inc.example.com","(780) 555-0146","","https://www.smith-manufacturing-canada-inc.example.com","4554 Steeles Avenue East","Calgary","AB","T9G 7N7","Canada","2% 10 Net 30","SMI-65019","Smith Manufacturing Canada Inc.","Fournisseurs - test data"
"Singh Packaging Ltd.","Singh Packaging Ltd.","Sarah","Nguyen","sarah.nguyen@singh-packaging-ltd.example.com","(416) 555-0115","(416) 555-0174","https://www.singh-packaging-ltd.example.com","4507 Burnhamthorpe Road","Etobicoke","ON","M0H 1P7","Canada","Due on receipt","SIN-80028","Singh Packaging Ltd.","Fournisseurs - test data"
"Hughes Hydraulics & Sons Ltd.","Hughes Hydraulics & Sons Ltd.","Megan","Murray","megan.murray@hughes-hydraulics-sons-ltd.example.com","(437) 555-0160","(437) 555-0111","https://www.hughes-hydraulics-sons-ltd.example.com","516 Burnhamthorpe Road, bureau 577","Scarborough","ON","M3B 3R2","Canada","Net 15","HUG-26627","Hughes Hydraulics & Sons Ltd.","Fournisseurs - test data"
"Grossiste de Bureau Québec inc.","Grossiste de Bureau Québec inc.","Mathieu","Roy","mathieu.roy@grossiste-de-bureau-quebec-inc.example.com","(514) 555-0168","","https://www.grossiste-de-bureau-quebec-inc.example.com","1977 boulevard Hymus","Brossard","QC","H0V 5Y6","Canada","Net 30","GRO-66609","Grossiste de Bureau Québec inc.","Fournisseurs — jeu d'essai"
"Clarke Distributors Holdings Ltd.","Clarke Distributors Holdings Ltd.","Nicole","Thompson","nicole.thompson@clarke-distributors-holdings-ltd.example.com","(343) 555-0197","","https://www.clarke-distributors-holdings-ltd.example.com","2501 Foundry Road, bureau 886","Cornwall","ON","K9K 9R3","Canada","Due on receipt","CLA-28645","Clarke Distributors Holdings Ltd.","Fournisseurs - test data"
"Trans-Canada Fasteners Inc.","Trans-Canada Fasteners Inc.","Jason","Chen","jason.chen@trans-canada-fasteners-inc.example.com","(613) 555-0193","(613) 555-0161","https://www.trans-canada-fasteners-inc.example.com","97 Airport Road","Ottawa","ON","K4Z 5H9","Canada","Net 30","TRA-56445","Trans-Canada Fasteners Inc.","Fournisseurs - test data"
"Fraser Bearings & Sons Ltd.","Fraser Bearings & Sons Ltd.","Megan","Reid","megan.reid@fraser-bearings-sons-ltd.example.com","(807) 555-0119","","https://www.fraser-bearings-sons-ltd.example.com","3157 Enterprise Boulevard","Thunder Bay","ON","P4G 5Z4","Canada","Due on receipt","FRA-32116","Fraser Bearings & Sons Ltd.","Fournisseurs - test data"
"Reid Steel Corp.","Reid Steel Corp.","Karen","Reid","karen.reid@reid-steel-corp.example.com","(289) 555-0139","(289) 555-0157","https://www.reid-steel-corp.example.com","1673 Dixie Road, bureau 737","Brampton","ON","L6W 8C4","Canada","Net 30","REI-42636","Reid Steel Corp.","Fournisseurs - test data"
"Taylor Supply Co. Holdings Ltd.","Taylor Supply Co. Holdings Ltd.","James","Brown","james.brown@taylor-supply-co-holdings-ltd.example.com","(778) 555-0170","","https://www.taylor-supply-co-holdings-ltd.example.com","1367 Steeles Avenue East","Richmond","BC","V5J 6J1","Canada","Net 15","TAY-04810","Taylor Supply Co. Holdings Ltd.","Fournisseurs - test data"
"Bluewater Fasteners & Sons Ltd.","Bluewater Fasteners & Sons Ltd.","Daniel","Nguyen","daniel.nguyen@bluewater-fasteners-sons-ltd.example.com","(905) 555-0168","","https://www.bluewater-fasteners-sons-ltd.example.com","3212 Foundry Road","Brampton","ON","L0N 0W2","Canada","Net 30","BLU-24045","Bluewater Fasteners & Sons Ltd.","Fournisseurs - test data"
"Keystone Chemicals Holdings Ltd.","Keystone Chemicals Holdings Ltd.","Hannah","Anderson","hannah.anderson@keystone-chemicals-holdings-ltd.example.com","(780) 555-0110","(780) 555-0134","https://www.keystone-chemicals-holdings-ltd.example.com","28 Airport Road","Edmonton","AB","T2Z 4A3","Canada","Net 30","KEY-99660","Keystone Chemicals Holdings Ltd.","Fournisseurs - test data"
"Papeterie Roy inc.","Papeterie Roy inc.","Éric","Caron","eric.caron@papeterie-roy-inc.example.com","(418) 555-0126","","https://www.papeterie-roy-inc.example.com","1547 boulevard des Entreprises","Lévis","QC","G4P 9H6","Canada","2% 10 Net 30","PAP-37324","Papeterie Roy inc.","Fournisseurs — jeu d'essai"
"Ridgeway Wholesale Corp.","Ridgeway Wholesale Corp.","Robert","Bennett","robert.bennett@ridgeway-wholesale-corp.example.com","(204) 555-0109","(204) 555-0195","https://www.ridgeway-wholesale-corp.example.com","1179 Dixie Road","Winnipeg","MB","R0V 3Y7","Canada","Net 15","RID-60850","Ridgeway Wholesale Corp.","Fournisseurs - test data"
"Câbles Morin inc.","Câbles Morin inc.","Sylvain","Tremblay","sylvain.tremblay@cables-morin-inc.example.com","(514) 555-0125","","https://www.cables-morin-inc.example.com","1544 avenue Manufacturiers, bureau 278","Brossard","QC","J1L 6L6","Canada","Due on receipt","CAB-30015","Câbles Morin inc.","Fournisseurs — jeu d'essai"
"Dominion Freight Group Inc.","Dominion Freight Group Inc.","Andrew","Brown","andrew.brown@dominion-freight-group-inc.example.com","(902) 555-0111","","https://www.dominion-freight-group-inc.example.com","1184 Industrial Drive","Truro","NS","B9A 0H0","Canada","Net 15","DOM-52496","Dominion Freight Group Inc.","Fournisseurs - test data"
"Distribution Alimentaires Canada inc.","Distribution Alimentaires Canada inc.","Isabelle","Caron","isabelle.caron@distribution-alimentaires-canada-inc.example.com","(438) 555-0117","","https://www.distribution-alimentaires-canada-inc.example.com","1728 rue du Parc-Industriel","Longueuil","QC","J1K 1K1","Canada","Net 30","DIS-62450","Distribution Alimentaires Canada inc.","Fournisseurs — jeu d'essai"
"Matériaux Électriques ltée","Matériaux Électriques ltée","Mathieu","Nadeau","mathieu.nadeau@materiaux-electriques-ltee.example.com","(514) 555-0102","(514) 555-0141","https://www.materiaux-electriques-ltee.example.com","3158 boulevard Hymus","Longueuil","QC","J2T 4A8","Canada","Net 30","MAT-24612","Matériaux Électriques ltée","Fournisseurs — jeu d'essai"
"Entrepôts Nadeau Canada inc.","Entrepôts Nadeau Canada inc.","Éric","Gagnon","eric.gagnon@entrepots-nadeau-canada-inc.example.com","(873) 555-0129","(873) 555-0152","https://www.entrepots-nadeau-canada-inc.example.com","4366 boulevard des Entreprises, bureau 337","Sherbrooke","QC","J5Z 5S1","Canada","Due on receipt","ENT-42338","Entrepôts Nadeau Canada inc.","Fournisseurs — jeu d'essai"
