Section;Type de ligne;Date;Date (Id);Transaction Type;Transaction Type (Id);#;Name;Name (Id);Memo/Description;Split;Split (Id);Amount;Balance
Owner's Equity - Draws;Total;Total for Owner's Equity - Draws;;;;;;;;;;-2000.00;
Retained Earnings;Entête;Retained Earnings;2;;;;;;;;;;
Retained Earnings;Donnée;Beginning Balance;;;;;;;;;;;5841.75
Retained Earnings;Donnée;2026-04-01;;Journal Entry;156;12;;;adjust inventory adjustments;-Split-;;9436.24;15277.99
Retained Earnings;Donnée;2026-04-30;;Journal Entry;158;14;;;;-Split-;;3668.20;18946.19
Retained Earnings;Total;Total for Retained Earnings;;;;;;;;;;13104.44;
Billable Expenses Income;Entête;Billable Expenses Income;35;;;;;;;;;;
Billable Expenses Income;Donnée;2026-02-05;;Invoice;128;1007;Hazel Robinson;12;Promotional items -- pens engraved;Accounts Receivable;32;300.00;300.00
Billable Expenses Income;Donnée;2026-02-05;;Invoice;128;1007;Hazel Robinson;12;Catering -- food & beverage;Accounts Receivable;32;3750.00;4050.00
Billable Expenses Income;Donnée;2026-02-05;;Invoice;128;1007;Hazel Robinson;12;Promotional items - engraved padfolios;Accounts Receivable;32;562.50;4612.50
Billable Expenses Income;Donnée;2026-02-05;;Invoice;128;1007;Hazel Robinson;12;promotional items -- misc engraved items;Accounts Receivable;32;506.25;5118.75
Billable Expenses Income;Donnée;2026-07-22;;Invoice;122;1001;Ecker Designs;8;promotional items -- misc engraved items;Accounts Receivable;32;1012.50;6131.25
Billable Expenses Income;Donnée;2026-07-22;;Invoice;122;1001;Ecker Designs;8;Venue rental;Accounts Receivable;32;10000.00;16131.25
Billable Expenses Income;Donnée;2026-08-09;;Invoice;123;1002;Oxon Insurance Agency:Oxon - Holiday Party;65;Venue rental;Accounts Receivable;32;5000.00;21131.25
Billable Expenses Income;Donnée;2026-08-09;;Invoice;123;1002;Oxon Insurance Agency:Oxon - Holiday Party;65;promotional items -- misc engraved items - Camelbak water bottles engraved;Accounts Receivable;32;1000.00;22131.25
Billable Expenses Income;Total;Total for Billable Expenses Income;;;;;;;;;;22131.25;
Markup;Entête;Markup;29;;;;;;;;;;
Markup;Donnée;2026-02-05;;Invoice;128;1007;Hazel Robinson;12;20% markup for Catering -- food & beverage;Accounts Receivable;32;750.00;750.00
Markup;Donnée;2026-02-05;;Invoice;128;1007;Hazel Robinson;12;20% markup for promotional items -- misc engraved items;Accounts Receivable;32;101.25;851.25
Markup;Donnée;2026-02-05;;Invoice;128;1007;Hazel Robinson;12;100% markup for Promotional items -- pens engraved;Accounts Receivable;32;.00;851.25
Markup;Donnée;2026-02-05;;Invoice;128;1007;Hazel Robinson;12;100% markup for Promotional items - engraved padfolios;Accounts Receivable;32;.00;851.25
Markup;Total;Total for Markup;;;;;;;;;;851.25;
Sales;Entête;Sales;65;;;;;;;;;;
Sales;Donnée;2026-02-05;;Invoice;128;1007;Hazel Robinson;12;Employee training off site;Accounts Receivable;32;1500.00;1500.00
Sales;Donnée;2026-07-22;;Invoice;122;1001;Ecker Designs;8;Holiday party - gold level;Accounts Receivable;32;2000.00;3500.00
Sales;Donnée;2026-08-09;;Invoice;123;1002;Oxon Insurance Agency:Oxon - Holiday Party;65;Holiday party - platinum level;Accounts Receivable;32;3000.00;6500.00
Sales;Total;Total for Sales;;;;;;;;;;6500.00;
Sales of Product Income;Entête;Sales of Product Income;67;;;;;;;;;;
Sales of Product Income;Donnée;2026-02-16;;Invoice;130;1009;Benjamin Yeung;3;Name Badges;Accounts Receivable;32;1500.00;1500.00
Sales of Product Income;Donnée;2026-02-16;;Invoice;130;1009;Benjamin Yeung;3;Water bottles - generic;Accounts Receivable;32;5000.00;6500.00
Sales of Product Income;Donnée;2026-03-18;;Invoice;131;1010;Adwin Ko;1;Name Badges;Accounts Receivable;32;1500.00;8000.00
Sales of Product Income;Donnée;2026-04-01;;Invoice;178;1015;Anilkumar Pillai;60;Water bottles - generic;Accounts Receivable;32;3000.00;11000.00
Sales of Product Income;Donnée;2026-04-01;;Invoice;177;1014;Whitehead and Sons;5;Name Badges;Accounts Receivable;32;750.00;11750.00
Sales of Product Income;Donnée;2026-04-01;;Invoice;177;1014;Whitehead and Sons;5;Water bottles - generic;Accounts Receivable;32;2500.00;14250.00
Sales of Product Income;Donnée;2026-04-01;;Invoice;178;1015;Anilkumar Pillai;60;Name Badges;Accounts Receivable;32;900.00;15150.00
Sales of Product Income;Donnée;2026-05-03;;Invoice;180;1016;Anilkumar Pillai;60;Name Badges;Accounts Receivable;32;900.00;16050.00
Sales of Product Income;Donnée;2026-05-03;;Invoice;180;1016;Anilkumar Pillai;60;Water bottles - generic;Accounts Receivable;32;3000.00;19050.00
Sales of Product Income;Total;Total for Sales of Product Income;;;;;;;;;;19050.00;
Services;Entête;Services;1;;;;;;;;;;
Services;Donnée;2026-02-16;;Invoice;129;1008;Benjamin Yeung;3;consulting for their upcoming event;Accounts Receivable;32;800.00;800.00
Services;Donnée;2026-03-18;;Invoice;132;1011;Jordan Burgess;16;consult on event options and considerations;Accounts Receivable;32;400.00;1200.00
Services;Donnée;2026-03-29;;Invoice;174;1012;Whitehead and Sons;5;Monthly consulting agreement;Accounts Receivable;32;1200.00;2400.00
Services;Donnée;2026-05-03;;Invoice;175;1013;Whitehead and Sons;5;Monthly consulting agreement;Accounts Receivable;32;1200.00;3600.00
Services;Total;Total for Services;;;;;;;;;;3600.00;
Cost of Goods Sold;Entête;Cost of Goods Sold;84;;;;;;;;;;
Cost of Goods Sold;Donnée;2026-02-16;;Invoice;130;1009;Benjamin Yeung;3;Water bottles - generic;Accounts Receivable;32;2041.39;2041.39
Cost of Goods Sold;Donnée;2026-02-16;;Invoice;130;1009;Benjamin Yeung;3;Water bottles - generic;Accounts Receivable;32;510.35;2551.74
Cost of Goods Sold;Donnée;2026-02-16;;Invoice;130;1009;Benjamin Yeung;3;Name Badges;Accounts Receivable;32;750.00;3301.74
Cost of Goods Sold;Donnée;2026-03-18;;Invoice;131;1010;Adwin Ko;1;Name Badges;Accounts Receivable;32;750.00;4051.74
Cost of Goods Sold;Donnée;2026-04-01;;Invoice;178;1015;Anilkumar Pillai;60;Water bottles - generic;Accounts Receivable;32;1531.04;5582.78
Cost of Goods Sold;Donnée;2026-04-01;;Invoice;177;1014;Whitehead and Sons;5;Water bottles - generic;Accounts Receivable;32;1020.69;6603.47
Cost of Goods Sold;Donnée;2026-04-01;;Invoice;178;1015;Anilkumar Pillai;60;Name Badges;Accounts Receivable;32;450.00;7053.47
Cost of Goods Sold;Donnée;2026-04-01;;Invoice;177;1014;Whitehead and Sons;5;Water bottles - generic;Accounts Receivable;32;255.17;7308.64
Cost of Goods Sold;Donnée;2026-04-01;;Invoice;177;1014;Whitehead and Sons;5;Name Badges;Accounts Receivable;32;375.00;7683.64
Cost of Goods Sold;Donnée;2026-05-03;;Invoice;180;1016;Anilkumar Pillai;60;Name Badges;Accounts Receivable;32;450.00;8133.64
Cost of Goods Sold;Donnée;2026-05-03;;Invoice;180;1016;Anilkumar Pillai;60;Water bottles - generic;Accounts Receivable;32;1531.04;9664.68
Cost of Goods Sold;Total;Total for Cost of Goods Sold;;;;;;;;;;9664.68;
Cost of Sales - billable expenses;Entête;Cost of Sales - billable expenses;44;;;;;;;;;;
Cost of Sales - billable expenses;Donnée;2026-01-26;;Cheque Expense;82;2049;Kristina Gibson;38;Promotional items -- pens engraved;Chequing;38;300.00;300.00
Cost of Sales - billable expenses;Donnée;2026-01-26;;Cheque Expense;82;2049;Kristina Gibson;38;promotional items -- misc engraved items;Chequing;38;506.25;806.25
Cost of Sales - billable expenses;Donnée;2026-01-26;;Cheque Expense;82;2049;Kristina Gibson;38;Promotional items - engraved padfolios;Chequing;38;562.50;1368.75
Cost of Sales - billable expenses;Donnée;2026-02-05;;Cheque Expense;86;2050;Jacque Hudspeth;33;Catering -- food & beverage;Chequing;38;3750.00;5118.75
Cost of Sales - billable expenses;Donnée;2026-02-16;;Bill;97;;Kristina Gibson;38;Promotional items - engraved padfolios;Accounts Payable;31;187.50;5306.25
Cost of Sales - billable expenses;Donnée;2026-02-16;;Bill;97;;Kristina Gibson;38;promotional items -- misc engraved items;Accounts Payable;31;262.50;5568.75
Cost of Sales - billable expenses;Donnée;2026-03-10;;Cheque Expense;101;2058;Kristina Gibson;38;Promotional items - engraved padfolios;Chequing;38;1250.00;6818.75
Cost of Sales - billable expenses;Donnée;2026-03-10;;Cheque Expense;101;2058;Kristina Gibson;38;promotional items -- misc engraved items;Chequing;38;937.50;7756.25
Cost of Sales - billable expenses;Donnée;2026-03-28;;Cheque Expense;113;2066;Mauro Giansiracusa;43;Entertainment for the event;Chequing;38;750.00;8506.25
Cost of Sales - billable expenses;Donnée;2026-03-28;;Cheque Expense;111;2065;Garcia's Event Space;41;Venue Rental;Chequing;38;2500.00;11006.25
Cost of Sales - billable expenses;Donnée;2026-03-28;;Cheque Expense;109;2064;Jacque Hudspeth;33;Catering -- food & beverage;Chequing;38;12500.00;23506.25
Cost of Sales - billable expenses;Donnée;2026-06-20;;Cheque Expense;9;2006;Venue Rental;56;Venue Rental;Chequing;38;5000.00;28506.25
Cost of Sales - billable expenses;Donnée;2026-07-22;;Bill;19;;Hall's Promotional International;62;promotional items -- misc engraved items;Accounts Payable (A/P) - HKD;90;84.99;28591.24
Cost of Sales - billable expenses;Total;Total for Cost of Sales - billable expenses;;;;;;;;;;28591.24;
Inventory Shrinkage;Entête;Inventory Shrinkage;88;;;;;;;;;;
Inventory Shrinkage;Donnée;2026-04-01;;Inventory Qty Adjust;116;1;;;Quantity adjustment for Guest Book;Inventory Shrinkage;88;-250.00;-250.00
Inventory Shrinkage;Donnée;2026-04-01;;Inventory Qty Adjust;117;2;;;Quantity adjustment for Water Bottles - Generic;Inventory Shrinkage;88;-4593.12;-4843.12
Inventory Shrinkage;Donnée;2026-04-01;;Journal Entry;156;12;;;adjust inventory adjustments;-Split-;;9436.24;4593.12
Inventory Shrinkage;Donnée;2026-04-01;;Inventory Qty Adjust;155;3;;;Quantity adjustment for Water Bottles - Generic;Inventory Asset;85;.00;4593.12
Inventory Shrinkage;Donnée;2026-04-01;;Inventory Qty Adjust;116;1;;;Quantity adjustment for Guest Book;Inventory Asset;85;.00;4593.12
Inventory Shrinkage;Donnée;2026-04-01;;Inventory Qty Adjust;117;2;;;Quantity adjustment for Water Bottles - Generic;Inventory Asset;85;.00;4593.12
Inventory Shrinkage;Donnée;2026-04-01;;Inventory Qty Adjust;155;3;;;Quantity adjustment for Water Bottles - Generic;Inventory Shrinkage;88;-4593.12;.00
Inventory Shrinkage;Total;Total for Inventory Shrinkage;;;;;;;;;;.00;
Dues and Subscriptions;Entête;Dues and Subscriptions;6;;;;;;;;;;
Dues and Subscriptions;Donnée;2026-06-12;;Cheque Expense;5;2002;Organization of Outstanding Events;48;membership dues;Chequing;38;325.00;325.00
Dues and Subscriptions;Total;Total for Dues and Subscriptions;;;;;;;;;;325.00;
Insurance Expense-General Liability Insurance;Entête;Insurance Expense-General Liability Insurance;51;;;;;;;;;;
Insurance Expense-General Liability Insurance;Donnée;2026-03-23;;Cheque Expense;107;2062;Cass Hayden;27;Insurance - general liability;Chequing;38;750.00;750.00
Insurance Expense-General Liability Insurance;Donnée;2026-06-12;;Cheque Expense;4;2001;Cass Hayden;27;Insurance - general liability;Chequing;38;750.00;1500.00
Insurance Expense-General Liability Insurance;Total;Total for Insurance Expense-General Liability Insurance;;;;;;;;;;1500.00;
Interest expense;Entête;Interest expense;89;;;;;;;;;;
Interest expense;Donnée;2026-01-16;;Cheque Expense;78;2048;Bank of AnyCity;57;;Chequing;38;95.00;95.00
Interest expense;Donnée;2026-02-16;;Cheque Expense;95;2056;Bank of AnyCity;57;;Chequing;38;95.00;190.00
Interest expense;Donnée;2026-03-13;;Cheque Expense;106;2061;Bank of AnyCity;57;;Chequing;38;95.00;285.00
Interest expense;Donnée;2026-03-24;;Cheque Expense;165;2070;Bank of AnyCity;57;;Chequing;38;95.00;380.00
Interest expense;Donnée;2026-04-24;;Cheque Expense;170;2075;Bank of AnyCity;57;;Chequing;38;95.00;475.00
Interest expense;Donnée;2026-07-19;;Cheque Expense;17;2010;Bank of AnyCity;57;interest exp on loan;Chequing;38;95.00;570.00
Interest expense;Donnée;2026-07-19;;Cheque Expense;18;2011;Bank of AnyCity;57;interest exp on loan;Chequing;38;95.00;665.00
Interest expense;Donnée;2026-08-18;;Cheque Expense;26;2015;Bank of AnyCity;57;interest exp on loan;Chequing;38;95.00;760.00
Interest expense;Total;Total for Interest expense;;;;;;;;;;760.00;
Janitorial Expense;Entête;Janitorial Expense;91;;;;;;;;;;
Janitorial Expense;Donnée;2026-02-03;;Expense;92;;Jennifer Hargreaves;35;;Visa Credit Card;79;217.52;217.52
Janitorial Expense;Donnée;2026-02-24;;Bill;98;;Jennifer Hargreaves;35;;Accounts Payable;31;200.00;417.52
Janitorial Expense;Total;Total for Janitorial Expense;;;;;;;;;;417.52;
Rent Expense;Entête;Rent Expense;64;;;;;;;;;;
Rent Expense;Donnée;2026-01-11;;Cheque Expense;75;2045;Mark Howard;42;monthly office rent;Chequing;38;1250.00;1250.00
Rent Expense;Donnée;2026-02-11;;Cheque Expense;88;2051;Mark Howard;42;monthly office rent;Chequing;38;1250.00;2500.00
Rent Expense;Donnée;2026-03-13;;Cheque Expense;104;2059;Mark Howard;42;monthly office rent;Chequing;38;1250.00;3750.00
Rent Expense;Donnée;2026-03-24;;Cheque Expense;162;2067;Mark Howard;42;monthly office rent;Chequing;38;1250.00;5000.00
Rent Expense;Donnée;2026-04-24;;Cheque Expense;167;2072;Mark Howard;42;monthly office rent;Chequing;38;1250.00;6250.00
Rent Expense;Donnée;2026-06-13;;Cheque Expense;6;2003;Mark Howard;42;monthly office rent;Chequing;38;1250.00;7500.00
Rent Expense;Donnée;2026-07-14;;Cheque Expense;14;2007;Mark Howard;42;monthly office rent;Chequing;38;1250.00;8750.00
Rent Expense;Donnée;2026-08-13;;Cheque Expense;23;2012;Mark Howard;42;monthly office rent;Chequing;38;1250.00;10000.00
Rent Expense;Total;Total for Rent Expense;;;;;;;;;;10000.00;
Utilities - Electric & Gas;Entête;Utilities - Electric & Gas;82;;;;;;;;;;
Utilities - Electric & Gas;Donnée;2026-01-11;;Cheque Expense;76;2046;Town Electric & Gas Service;55;monthly electric / gas bill;Chequing;38;224.83;224.83
Utilities - Electric & Gas;Donnée;2026-02-11;;Cheque Expense;89;2052;Town Electric & Gas Service;55;monthly electric / gas bill;Chequing;38;210.87;435.70
Utilities - Electric & Gas;Donnée;2026-03-13;;Cheque Expense;105;2060;Town Electric & Gas Service;55;monthly electric / gas bill;Chequing;38;200.49;636.19
Utilities - Electric & Gas;Donnée;2026-03-24;;Cheque Expense;163;2068;Town Electric & Gas Service;55;monthly electric / gas bill;Chequing;38;202.78;838.97
Utilities - Electric & Gas;Donnée;2026-04-24;;Cheque Expense;168;2073;Town Electric & Gas Service;55;monthly electric / gas bill;Chequing;38;215.52;1054.49
Utilities - Electric & Gas;Donnée;2026-06-15;;Cheque Expense;7;2004;Town Electric & Gas Service;55;monthly electric / gas bill;Chequing;38;156.94;1211.43
Utilities - Electric & Gas;Donnée;2026-07-14;;Cheque Expense;15;2008;Town Electric & Gas Service;55;monthly electric / gas bill;Chequing;38;165.84;1377.27
Utilities - Electric & Gas;Donnée;2026-08-13;;Cheque Expense;25;2013;Town Electric & Gas Service;55;monthly electric / gas bill;Chequing;38;186.84;1564.11
Utilities - Electric & Gas;Total;Total for Utilities - Electric & Gas;;;;;;;;;;1564.11;
Utilities - Water;Entête;Utilities - Water;83;;;;;;;;;;
Utilities - Water;Donnée;2026-01-11;;Cheque Expense;77;2047;City Water Co;29;monthly water;Chequing;38;74.96;74.96
Utilities - Water;Donnée;2026-02-11;;Cheque Expense;90;2053;City Water Co;29;monthly water;Chequing;38;68.12;143.08
Utilities - Water;Donnée;2026-03-24;;Cheque Expense;164;2069;City Water Co;29;monthly water;Chequing;38;74.21;217.29
Utilities - Water;Donnée;2026-04-24;;Cheque Expense;169;2074;City Water Co;29;monthly water;Chequing;38;71.85;289.14
Utilities - Water;Donnée;2026-06-15;;Cheque Expense;8;2005;City Water Co;29;monthly water;Chequing;38;53.25;342.39
Utilities - Water;Donnée;2026-07-15;;Cheque Expense;16;2009;City Water Co;29;monthly water;Chequing;38;51.25;393.64
Utilities - Water;Donnée;2026-08-13;;Cheque Expense;24;2014;City Water Co;29;monthly water;Chequing;38;68.72;462.36
Utilities - Water;Total;Total for Utilities - Water;;;;;;;;;;462.36;
Depreciation Expense;Entête;Depreciation Expense;45;;;;;;;;;;
Depreciation Expense;Donnée;2026-01-06;;Journal Entry;143;9;;;monthly depr;-Split-;;20.83;20.83
Depreciation Expense;Donnée;2026-01-06;;Journal Entry;143;9;;;monthly depr;-Split-;;12.50;33.33
Depreciation Expense;Donnée;2026-02-06;;Journal Entry;144;10;;;monthly depr;-Split-;;20.83;54.16
Depreciation Expense;Donnée;2026-02-06;;Journal Entry;144;10;;;monthly depr;-Split-;;12.50;66.66
Depreciation Expense;Donnée;2026-03-08;;Journal Entry;145;11;;;monthly depr;-Split-;;20.83;87.49
Depreciation Expense;Donnée;2026-03-08;;Journal Entry;145;11;;;monthly depr;-Split-;;12.50;99.99
Depreciation Expense;Donnée;2026-04-08;;Journal Entry;157;13;;;monthly depr;-Split-;;20.83;120.82
Depreciation Expense;Donnée;2026-04-08;;Journal Entry;157;13;;;monthly depr;-Split-;;12.50;133.32
Depreciation Expense;Donnée;2026-07-09;;Journal Entry;136;2;;;depreciation on office equipment;-Split-;;20.83;154.15
Depreciation Expense;Donnée;2026-07-09;;Journal Entry;136;2;;;depreciation on office furniture;-Split-;;12.50;166.65
Depreciation Expense;Donnée;2026-08-08;;Journal Entry;137;3;;;depr on office equipment;-Split-;;20.83;187.48
Depreciation Expense;Donnée;2026-08-08;;Journal Entry;138;4;;;monthly depr;-Split-;;12.50;199.98
Depreciation Expense;Donnée;2026-08-08;;Journal Entry;137;3;;;depr on office furniture;-Split-;;12.50;212.48
Depreciation Expense;Donnée;2026-08-08;;Journal Entry;138;4;;;monthly depr;-Split-;;20.83;233.31
Depreciation Expense;Total;Total for Depreciation Expense;;;;;;;;;;233.31;
Exchange Gain or Loss;Entête;Exchange Gain or Loss;48;;;;;;;;;;
Exchange Gain or Loss;Donnée;2026-08-08;;Bill Payment (Cheque);22;1067;Hall's Promotional International;62;Exchange Gain Or Loss;Chequing;38;15.73;15.73
Exchange Gain or Loss;Donnée;2026-08-08;;Bill Payment (Cheque);21;1068;Hall's Promotional International;62;Exchange Gain Or Loss;Chequing;38;2.63;18.36
Exchange Gain or Loss;Total;Total for Exchange Gain or Loss;;;;;;;;;;18.36;
